"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig17010",48.3791146590866,-4.20480107434769,0.599120469642038,-7.01828978879652,2.24600343877254e-12,1.79590434964253e-08
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig03604",183.516565017132,-2.25903604232145,0.361199270018616,-6.25426524866737,3.99391715399238e-10,1.02969432252383e-06
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig14113",7.16817041725444,4.326448054179,0.696193587421896,6.21443249743287,5.15104713618722e-10,1.02969432252383e-06
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig18861",160.049405425911,-1.65547070828911,0.265631594026719,-6.23220560172745,4.59913302729554e-10,1.02969432252383e-06
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig03123",277.170036206406,-1.55988531216461,0.260598032053889,-5.98579083606452,2.15340956708169e-09,2.4598089854836e-06
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig12108",11.7749293049257,-4.76081169540028,0.789383405765329,-6.03105114780636,1.62896616104581e-09,2.4598089854836e-06
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig18493",19.9212489203546,-3.80624351337677,0.635311619574779,-5.99114418200682,2.08369799479071e-09,2.4598089854836e-06
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig01686",25.5075764687613,-2.61121838578731,0.457848314710922,-5.703239046399,1.17551944338368e-08,1.07826811097456e-05
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig03190",11.2829045109766,-3.58716136681238,0.629569942234412,-5.69779642605102,1.21365845407341e-08,1.07826811097456e-05
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig09761",231.911080704466,-4.67503837497857,0.831324835129451,-5.6236000386667,1.87018377027617e-08,1.49539894271282e-05
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig11174",38.5456645958794,-2.34942219784958,0.43909804195333,-5.35056405033865,8.76805122875602e-08,6.37357614773937e-05
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig17012",55.2162030028164,-4.67173424600669,0.880183834023721,-5.30768012933169,1.11029263066129e-07,7.3982498956397e-05
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig13142",41.0413176740405,-1.67147702688786,0.31740701553518,-5.26603680788084,1.39400346449345e-07,8.57177341117563e-05
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig18479",18.1363395584389,-3.60243305545006,0.68585635381686,-5.25245998728766,1.5008107523319e-07,8.57177341117563e-05
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig03590",7.37709596425879,-5.13388111867969,0.993950322622848,-5.16512847959276,2.40273823875856e-07,0.000128081966380757
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig01333",32.2187812362868,-2.35687579526121,0.458759473863858,-5.13749781647155,2.78420701946494e-07,0.00013914074579776
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig19050",42.9545270261219,1.84700916574971,0.360332152397715,5.12585167174059,2.96195733192185e-07,0.000139316534270865
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig12690",4.23212089282627,3.93332753819299,0.780906631927603,5.03687301064904,4.73198487288789e-07,0.000199141847597956
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig15922",51.2356212086975,2.19511492890461,0.43579815984782,5.03699907698358,4.72887060245531e-07,0.000199141847597956
